Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-24 09:15:00+05:30,1418.9000244140625,1422.0,1414.300048828125,1419.4000244140625,0,0.0,0.0
2026-03-24 09:16:00+05:30,1419.5,1420.699951171875,1415.9000244140625,1416.4000244140625,145851,0.0,0.0
2026-03-24 09:17:00+05:30,1416.199951171875,1417.5,1415.5,1416.5999755859375,94624,0.0,0.0
2026-03-24 09:18:00+05:30,1416.5999755859375,1416.5999755859375,1412.0,1412.800048828125,98048,0.0,0.0
2026-03-24 09:19:00+05:30,1412.800048828125,1414.0,1412.199951171875,1413.0999755859375,48658,0.0,0.0
2026-03-24 09:20:00+05:30,1413.4000244140625,1414.0,1410.9000244140625,1410.9000244140625,78964,0.0,0.0
2026-03-24 09:21:00+05:30,1411.800048828125,1412.4000244140625,1410.699951171875,1411.5,47216,0.0,0.0
2026-03-24 09:22:00+05:30,1411.4000244140625,1412.9000244140625,1411.300048828125,1412.300048828125,39039,0.0,0.0
2026-03-24 09:23:00+05:30,1412.0999755859375,1415.0,1412.0999755859375,1415.0,41560,0.0,0.0
2026-03-24 09:24:00+05:30,1414.9000244140625,1416.0,1414.0999755859375,1415.300048828125,35713,0.0,0.0
2026-03-24 09:25:00+05:30,1415.9000244140625,1417.5,1415.0,1416.0999755859375,36055,0.0,0.0
2026-03-24 09:26:00+05:30,1416.0,1416.800048828125,1415.0,1416.800048828125,47378,0.0,0.0
2026-03-24 09:27:00+05:30,1416.699951171875,1416.800048828125,1415.800048828125,1416.4000244140625,23451,0.0,0.0
2026-03-24 09:28:00+05:30,1416.4000244140625,1416.4000244140625,1414.300048828125,1414.5,26489,0.0,0.0
2026-03-24 09:29:00+05:30,1414.5,1416.4000244140625,1414.0,1416.0,31308,0.0,0.0
2026-03-24 09:30:00+05:30,1416.199951171875,1417.0,1415.699951171875,1416.0,36335,0.0,0.0
2026-03-24 09:31:00+05:30,1416.0,1416.0,1414.0999755859375,1414.0999755859375,23114,0.0,0.0
2026-03-24 09:32:00+05:30,1414.199951171875,1414.5,1413.0,1413.699951171875,25152,0.0,0.0
2026-03-24 09:33:00+05:30,1413.5,1414.199951171875,1413.300048828125,1413.9000244140625,20012,0.0,0.0
2026-03-24 09:34:00+05:30,1414.4000244140625,1414.4000244140625,1412.699951171875,1412.800048828125,24897,0.0,0.0
2026-03-24 09:35:00+05:30,1412.800048828125,1413.0999755859375,1412.0,1412.199951171875,20604,0.0,0.0
2026-03-24 09:36:00+05:30,1412.199951171875,1412.199951171875,1411.4000244140625,1411.4000244140625,17456,0.0,0.0
2026-03-24 09:37:00+05:30,1411.199951171875,1411.199951171875,1410.4000244140625,1410.4000244140625,33475,0.0,0.0
2026-03-24 09:38:00+05:30,1410.4000244140625,1410.5999755859375,1410.199951171875,1410.5,33430,0.0,0.0
2026-03-24 09:39:00+05:30,1411.0,1411.0,1409.9000244140625,1410.4000244140625,47128,0.0,0.0
2026-03-24 09:40:00+05:30,1410.4000244140625,1413.0,1410.0,1412.0,93632,0.0,0.0
2026-03-24 09:41:00+05:30,1412.699951171875,1413.0,1411.0999755859375,1412.5999755859375,65142,0.0,0.0
2026-03-24 09:42:00+05:30,1412.699951171875,1413.0999755859375,1411.800048828125,1412.0,40345,0.0,0.0
2026-03-24 09:43:00+05:30,1412.0,1412.0,1411.0,1411.300048828125,25549,0.0,0.0
2026-03-24 09:44:00+05:30,1411.0,1411.699951171875,1411.0,1411.699951171875,20378,0.0,0.0
2026-03-24 09:45:00+05:30,1412.0,1412.0,1409.0,1409.0999755859375,28852,0.0,0.0
2026-03-24 09:46:00+05:30,1409.0999755859375,1409.4000244140625,1408.5,1409.0,27080,0.0,0.0
2026-03-24 09:47:00+05:30,1409.0,1409.4000244140625,1409.0,1409.0999755859375,19526,0.0,0.0
2026-03-24 09:48:00+05:30,1409.0,1409.699951171875,1409.0,1409.199951171875,16589,0.0,0.0
2026-03-24 09:49:00+05:30,1409.4000244140625,1410.0999755859375,1408.9000244140625,1408.9000244140625,46527,0.0,0.0
2026-03-24 09:50:00+05:30,1409.0999755859375,1410.0,1408.800048828125,1409.5,18274,0.0,0.0
2026-03-24 09:51:00+05:30,1409.0,1409.5999755859375,1409.0,1409.5,19607,0.0,0.0
2026-03-24 09:52:00+05:30,1409.4000244140625,1409.5999755859375,1409.199951171875,1409.4000244140625,6628,0.0,0.0
2026-03-24 09:53:00+05:30,1409.5999755859375,1409.9000244140625,1409.5,1409.9000244140625,9738,0.0,0.0
2026-03-24 09:54:00+05:30,1409.9000244140625,1411.4000244140625,1409.800048828125,1411.4000244140625,17350,0.0,0.0
2026-03-24 09:55:00+05:30,1411.4000244140625,1413.300048828125,1411.0999755859375,1412.9000244140625,61351,0.0,0.0
2026-03-24 09:56:00+05:30,1413.0,1415.4000244140625,1413.0,1415.4000244140625,68375,0.0,0.0
2026-03-24 09:57:00+05:30,1415.300048828125,1415.300048828125,1414.0999755859375,1414.5999755859375,27486,0.0,0.0
2026-03-24 09:58:00+05:30,1414.5999755859375,1414.5999755859375,1413.5,1414.0,34244,0.0,0.0
2026-03-24 09:59:00+05:30,1414.0999755859375,1415.0,1414.0,1415.0,19591,0.0,0.0
2026-03-24 10:00:00+05:30,1415.0,1415.199951171875,1414.199951171875,1414.5999755859375,61644,0.0,0.0
2026-03-24 10:01:00+05:30,1414.0,1414.5,1413.0999755859375,1413.699951171875,45059,0.0,0.0
