Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-24 09:15:00+05:30,73839.1875,73909.7265625,73723.421875,73760.09375,0,0.0,0.0
2026-03-24 09:16:00+05:30,73756.140625,73811.171875,73564.5625,73565.0234375,0,0.0,0.0
2026-03-24 09:17:00+05:30,73567.546875,73655.8671875,73567.546875,73652.6171875,0,0.0,0.0
2026-03-24 09:18:00+05:30,73641.109375,73675.4765625,73519.4296875,73548.6875,0,0.0,0.0
2026-03-24 09:19:00+05:30,73554.0078125,73561.0703125,73499.859375,73532.640625,0,0.0,0.0
2026-03-24 09:20:00+05:30,73534.6171875,73558.5625,73507.3515625,73507.7421875,0,0.0,0.0
2026-03-24 09:21:00+05:30,73518.84375,73544.8203125,73501.6015625,73537.5390625,0,0.0,0.0
2026-03-24 09:22:00+05:30,73536.21875,73560.1171875,73475.5234375,73524.03125,0,0.0,0.0
2026-03-24 09:23:00+05:30,73500.5078125,73550.09375,73500.5078125,73536.546875,0,0.0,0.0
2026-03-24 09:24:00+05:30,73541.59375,73634.5078125,73537.546875,73626.640625,0,0.0,0.0
2026-03-24 09:25:00+05:30,73636.96875,73687.75,73624.53125,73660.4375,0,0.0,0.0
2026-03-24 09:26:00+05:30,73663.34375,73721.9921875,73660.40625,73721.9921875,0,0.0,0.0
2026-03-24 09:27:00+05:30,73724.8671875,73759.2421875,73720.703125,73754.640625,0,0.0,0.0
2026-03-24 09:28:00+05:30,73766.359375,73766.359375,73658.8984375,73691.09375,0,0.0,0.0
2026-03-24 09:29:00+05:30,73692.0234375,73747.46875,73669.90625,73735.546875,0,0.0,0.0
2026-03-24 09:30:00+05:30,73733.359375,73779.90625,73713.34375,73767.7421875,0,0.0,0.0
2026-03-24 09:31:00+05:30,73762.21875,73783.3125,73689.3828125,73707.71875,0,0.0,0.0
2026-03-24 09:32:00+05:30,73696.34375,73718.6796875,73662.3828125,73700.40625,0,0.0,0.0
2026-03-24 09:33:00+05:30,73702.6328125,73707.5078125,73667.6875,73700.0703125,0,0.0,0.0
2026-03-24 09:34:00+05:30,73698.09375,73698.09375,73648.5703125,73651.6875,0,0.0,0.0
2026-03-24 09:35:00+05:30,73653.96875,73683.6171875,73642.1171875,73648.0703125,0,0.0,0.0
2026-03-24 09:36:00+05:30,73647.078125,73672.796875,73642.5390625,73672.796875,0,0.0,0.0
2026-03-24 09:37:00+05:30,73672.2109375,73672.2109375,73549.4296875,73588.328125,0,0.0,0.0
2026-03-24 09:38:00+05:30,73587.7578125,73587.7578125,73525.1875,73528.0390625,0,0.0,0.0
2026-03-24 09:39:00+05:30,73531.1015625,73534.359375,73478.828125,73494.609375,0,0.0,0.0
2026-03-24 09:40:00+05:30,73486.8828125,73547.828125,73483.9375,73528.828125,0,0.0,0.0
2026-03-24 09:41:00+05:30,73525.2265625,73540.90625,73502.921875,73540.90625,0,0.0,0.0
2026-03-24 09:42:00+05:30,73536.703125,73539.3671875,73444.4609375,73444.4609375,0,0.0,0.0
2026-03-24 09:43:00+05:30,73427.5,73430.328125,73383.9296875,73385.546875,0,0.0,0.0
2026-03-24 09:44:00+05:30,73384.671875,73426.421875,73380.1171875,73419.0234375,0,0.0,0.0
2026-03-24 09:45:00+05:30,73420.53125,73426.3828125,73343.9296875,73349.7890625,0,0.0,0.0
2026-03-24 09:46:00+05:30,73349.34375,73361.9375,73332.640625,73357.609375,0,0.0,0.0
2026-03-24 09:47:00+05:30,73354.5703125,73367.140625,73333.5234375,73356.203125,0,0.0,0.0
2026-03-24 09:48:00+05:30,73355.828125,73355.828125,73317.1875,73332.109375,0,0.0,0.0
2026-03-24 09:49:00+05:30,73327.7890625,73381.0078125,73320.703125,73351.5390625,0,0.0,0.0
2026-03-24 09:50:00+05:30,73354.21875,73384.5078125,73338.359375,73348.859375,0,0.0,0.0
2026-03-24 09:51:00+05:30,73340.0078125,73353.09375,73303.8828125,73353.09375,0,0.0,0.0
2026-03-24 09:52:00+05:30,73349.4296875,73369.140625,73348.859375,73365.4921875,0,0.0,0.0
2026-03-24 09:53:00+05:30,73363.75,73381.140625,73343.03125,73381.140625,0,0.0,0.0
2026-03-24 09:54:00+05:30,73377.84375,73405.34375,73369.25,73394.0390625,0,0.0,0.0
2026-03-24 09:55:00+05:30,73390.6328125,73458.1015625,73374.953125,73458.1015625,0,0.0,0.0
2026-03-24 09:56:00+05:30,73467.75,73524.171875,73467.75,73515.8203125,0,0.0,0.0
2026-03-24 09:57:00+05:30,73514.296875,73524.953125,73482.1328125,73524.203125,0,0.0,0.0
2026-03-24 09:58:00+05:30,73526.7890625,73530.03125,73462.0703125,73462.0703125,0,0.0,0.0
2026-03-24 09:59:00+05:30,73464.0234375,73491.71875,73450.78125,73473.8203125,0,0.0,0.0
2026-03-24 10:00:00+05:30,73472.21875,73483.0078125,73451.046875,73464.09375,0,0.0,0.0
2026-03-24 10:01:00+05:30,73465.796875,73465.796875,73368.6875,73368.6875,0,0.0,0.0
2026-03-24 10:02:00+05:30,73370.71875,73404.8203125,73360.7421875,73399.859375,0,0.0,0.0
