Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-24 09:15:00+05:30,22854.05078125,22897.650390625,22833.5,22851.25,0,0.0,0.0
2026-03-24 09:16:00+05:30,22847.599609375,22869.0,22791.80078125,22802.25,0,0.0,0.0
2026-03-24 09:17:00+05:30,22800.849609375,22826.69921875,22795.0,22821.349609375,0,0.0,0.0
2026-03-24 09:18:00+05:30,22821.900390625,22834.400390625,22784.80078125,22794.94921875,0,0.0,0.0
2026-03-24 09:19:00+05:30,22796.5,22796.94921875,22775.400390625,22785.150390625,0,0.0,0.0
2026-03-24 09:20:00+05:30,22789.80078125,22799.55078125,22772.650390625,22776.05078125,0,0.0,0.0
2026-03-24 09:21:00+05:30,22775.94921875,22784.400390625,22771.599609375,22782.05078125,0,0.0,0.0
2026-03-24 09:22:00+05:30,22782.5,22787.849609375,22765.150390625,22771.05078125,0,0.0,0.0
2026-03-24 09:23:00+05:30,22769.650390625,22786.19921875,22767.80078125,22785.900390625,0,0.0,0.0
2026-03-24 09:24:00+05:30,22788.69921875,22817.0,22786.599609375,22816.69921875,0,0.0,0.0
2026-03-24 09:25:00+05:30,22815.80078125,22828.75,22811.150390625,22824.650390625,0,0.0,0.0
2026-03-24 09:26:00+05:30,22826.05078125,22840.19921875,22820.900390625,22838.400390625,0,0.0,0.0
2026-03-24 09:27:00+05:30,22838.30078125,22849.19921875,22836.150390625,22848.900390625,0,0.0,0.0
2026-03-24 09:28:00+05:30,22848.099609375,22849.25,22824.849609375,22825.650390625,0,0.0,0.0
2026-03-24 09:29:00+05:30,22826.349609375,22844.0,22819.5,22839.900390625,0,0.0,0.0
2026-03-24 09:30:00+05:30,22839.599609375,22851.900390625,22839.44921875,22848.25,0,0.0,0.0
2026-03-24 09:31:00+05:30,22847.44921875,22852.400390625,22829.44921875,22832.150390625,0,0.0,0.0
2026-03-24 09:32:00+05:30,22831.0,22833.30078125,22815.75,22829.0,0,0.0,0.0
2026-03-24 09:33:00+05:30,22830.19921875,22833.44921875,22820.80078125,22831.44921875,0,0.0,0.0
2026-03-24 09:34:00+05:30,22831.25,22833.349609375,22815.19921875,22815.19921875,0,0.0,0.0
2026-03-24 09:35:00+05:30,22815.599609375,22827.900390625,22814.75,22819.099609375,0,0.0,0.0
2026-03-24 09:36:00+05:30,22818.05078125,22825.0,22814.75,22823.349609375,0,0.0,0.0
2026-03-24 09:37:00+05:30,22822.599609375,22822.599609375,22785.849609375,22790.80078125,0,0.0,0.0
2026-03-24 09:38:00+05:30,22793.25,22793.25,22780.900390625,22782.0,0,0.0,0.0
2026-03-24 09:39:00+05:30,22784.349609375,22784.349609375,22763.099609375,22764.30078125,0,0.0,0.0
2026-03-24 09:40:00+05:30,22764.30078125,22781.650390625,22762.5,22779.75,0,0.0,0.0
2026-03-24 09:41:00+05:30,22778.30078125,22783.099609375,22769.900390625,22782.75,0,0.0,0.0
2026-03-24 09:42:00+05:30,22782.19921875,22782.400390625,22749.5,22749.5,0,0.0,0.0
2026-03-24 09:43:00+05:30,22747.55078125,22748.849609375,22732.30078125,22736.099609375,0,0.0,0.0
2026-03-24 09:44:00+05:30,22734.400390625,22748.150390625,22734.400390625,22744.80078125,0,0.0,0.0
2026-03-24 09:45:00+05:30,22747.30078125,22748.099609375,22717.599609375,22719.05078125,0,0.0,0.0
2026-03-24 09:46:00+05:30,22718.599609375,22727.650390625,22715.5,22721.25,0,0.0,0.0
2026-03-24 09:47:00+05:30,22720.849609375,22729.80078125,22714.30078125,22717.349609375,0,0.0,0.0
2026-03-24 09:48:00+05:30,22717.0,22718.05078125,22707.05078125,22711.44921875,0,0.0,0.0
2026-03-24 09:49:00+05:30,22711.25,22729.150390625,22709.94921875,22718.900390625,0,0.0,0.0
2026-03-24 09:50:00+05:30,22718.75,22729.44921875,22710.5,22712.55078125,0,0.0,0.0
2026-03-24 09:51:00+05:30,22711.599609375,22721.30078125,22701.80078125,22717.650390625,0,0.0,0.0
2026-03-24 09:52:00+05:30,22717.80078125,22726.650390625,22716.650390625,22724.30078125,0,0.0,0.0
2026-03-24 09:53:00+05:30,22722.19921875,22726.25,22713.75,22724.55078125,0,0.0,0.0
2026-03-24 09:54:00+05:30,22724.80078125,22737.150390625,22723.0,22730.69921875,0,0.0,0.0
2026-03-24 09:55:00+05:30,22729.900390625,22756.05078125,22725.05078125,22755.44921875,0,0.0,0.0
2026-03-24 09:56:00+05:30,22758.400390625,22773.650390625,22757.05078125,22767.349609375,0,0.0,0.0
2026-03-24 09:57:00+05:30,22766.400390625,22771.30078125,22755.25,22770.19921875,0,0.0,0.0
2026-03-24 09:58:00+05:30,22770.849609375,22773.650390625,22750.55078125,22755.94921875,0,0.0,0.0
2026-03-24 09:59:00+05:30,22755.400390625,22763.349609375,22744.30078125,22754.19921875,0,0.0,0.0
2026-03-24 10:00:00+05:30,22753.900390625,22756.650390625,22746.599609375,22747.30078125,0,0.0,0.0
2026-03-24 10:01:00+05:30,22746.0,22746.75,22718.75,22718.75,0,0.0,0.0
2026-03-24 10:02:00+05:30,22719.0,22730.5,22716.099609375,22725.0,0,0.0,0.0
2026-03-24 10:03:00+05:30,22723.5,22724.44921875,22712.0,22713.349609375,0,0.0,0.0
2026-03-24 10:04:00+05:30,22712.55078125,22715.75,22701.849609375,22705.599609375,0,0.0,0.0
2026-03-24 10:05:00+05:30,22705.69921875,22716.0,22704.25,22715.0,0,0.0,0.0
2026-03-24 10:06:00+05:30,22714.849609375,22719.44921875,22705.80078125,22705.80078125,0,0.0,0.0
2026-03-24 10:07:00+05:30,22704.599609375,22704.80078125,22695.05078125,22697.849609375,0,0.0,0.0
2026-03-24 10:08:00+05:30,22697.650390625,22699.30078125,22688.69921875,22688.900390625,0,0.0,0.0
2026-03-24 10:09:00+05:30,22688.94921875,22697.30078125,22682.349609375,22685.150390625,0,0.0,0.0
2026-03-24 10:10:00+05:30,22684.5,22694.19921875,22682.30078125,22693.55078125,0,0.0,0.0
2026-03-24 10:11:00+05:30,22694.94921875,22696.349609375,22687.44921875,22687.80078125,0,0.0,0.0
2026-03-24 10:12:00+05:30,22687.099609375,22691.099609375,22685.400390625,22688.5,0,0.0,0.0
2026-03-24 10:13:00+05:30,22689.05078125,22709.05078125,22687.150390625,22709.05078125,0,0.0,0.0
2026-03-24 10:14:00+05:30,22713.25,22714.849609375,22706.150390625,22708.099609375,0,0.0,0.0
2026-03-24 10:15:00+05:30,22706.94921875,22711.400390625,22701.55078125,22711.400390625,0,0.0,0.0
2026-03-24 10:16:00+05:30,22711.05078125,22730.349609375,22711.05078125,22728.19921875,0,0.0,0.0
2026-03-24 10:17:00+05:30,22729.099609375,22744.30078125,22727.599609375,22741.25,0,0.0,0.0
2026-03-24 10:18:00+05:30,22741.150390625,22748.5,22735.55078125,22741.0,0,0.0,0.0
2026-03-24 10:19:00+05:30,22740.30078125,22742.25,22729.5,22731.69921875,0,0.0,0.0
2026-03-24 10:20:00+05:30,22731.400390625,22734.900390625,22713.44921875,22714.0,0,0.0,0.0
2026-03-24 10:21:00+05:30,22714.80078125,22733.44921875,22712.25,22733.44921875,0,0.0,0.0
2026-03-24 10:22:00+05:30,22733.599609375,22747.19921875,22731.19921875,22743.849609375,0,0.0,0.0
2026-03-24 10:23:00+05:30,22744.80078125,22763.30078125,22743.599609375,22763.30078125,0,0.0,0.0
2026-03-24 10:24:00+05:30,22764.599609375,22766.80078125,22759.0,22762.150390625,0,0.0,0.0
2026-03-24 10:25:00+05:30,22763.099609375,22765.80078125,22753.5,22760.0,0,0.0,0.0
2026-03-24 10:26:00+05:30,22759.75,22761.650390625,22725.099609375,22728.69921875,0,0.0,0.0
2026-03-24 10:27:00+05:30,22733.5,22737.849609375,22728.0,22734.400390625,0,0.0,0.0
2026-03-24 10:28:00+05:30,22734.400390625,22739.44921875,22728.25,22731.900390625,0,0.0,0.0
2026-03-24 10:29:00+05:30,22733.44921875,22738.599609375,22731.75,22737.900390625,0,0.0,0.0
2026-03-24 10:30:00+05:30,22738.19921875,22738.900390625,22721.55078125,22721.55078125,0,0.0,0.0
2026-03-24 10:31:00+05:30,22722.349609375,22725.0,22705.0,22705.150390625,0,0.0,0.0
2026-03-24 10:32:00+05:30,22706.650390625,22710.69921875,22697.55078125,22697.55078125,0,0.0,0.0
2026-03-24 10:33:00+05:30,22697.150390625,22698.599609375,22679.19921875,22680.849609375,0,0.0,0.0
2026-03-24 10:34:00+05:30,22680.55078125,22682.5,22667.75,22667.75,0,0.0,0.0
2026-03-24 10:35:00+05:30,22665.599609375,22667.69921875,22658.94921875,22660.900390625,0,0.0,0.0
2026-03-24 10:36:00+05:30,22661.099609375,22664.099609375,22641.05078125,22641.05078125,0,0.0,0.0
2026-03-24 10:37:00+05:30,22640.80078125,22643.5,22624.900390625,22642.599609375,0,0.0,0.0
2026-03-24 10:38:00+05:30,22642.150390625,22653.80078125,22633.599609375,22647.25,0,0.0,0.0
2026-03-24 10:39:00+05:30,22647.75,22649.25,22629.55078125,22631.80078125,0,0.0,0.0
2026-03-24 10:40:00+05:30,22631.599609375,22639.650390625,22630.55078125,22634.349609375,0,0.0,0.0
2026-03-24 10:41:00+05:30,22634.400390625,22659.25,22632.19921875,22649.099609375,0,0.0,0.0
2026-03-24 10:42:00+05:30,22648.80078125,22667.44921875,22645.44921875,22664.849609375,0,0.0,0.0
2026-03-24 10:43:00+05:30,22665.900390625,22680.650390625,22664.80078125,22671.05078125,0,0.0,0.0
2026-03-24 10:44:00+05:30,22671.650390625,22680.400390625,22665.849609375,22667.900390625,0,0.0,0.0
2026-03-24 10:45:00+05:30,22667.55078125,22675.5,22664.94921875,22665.900390625,0,0.0,0.0
2026-03-24 10:46:00+05:30,22665.849609375,22671.25,22657.0,22664.0,0,0.0,0.0
2026-03-24 10:47:00+05:30,22664.400390625,22677.05078125,22660.5,22674.900390625,0,0.0,0.0
